species_label,species,diameter_class,wood_bark,new_label,lab_unique,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
8,Pottsia laxiflora,4.0 cm,wood,LW13BR1,C2023-5277,466,8.2,1.05,83.51,68.08,14.71,10.65,14.06,1.89,28.4,1.22,3.37,0.31
8,Pottsia laxiflora,4.0 cm,wood,LW13BR2,C2023-5278,465,8.62,1.02,83.65,67.79,15.41,10.06,14.97,1.93,27.1,1.29,3.49,0.72
9,Calamus henryanus,2.0 cm,wood,LW15SR1,C2023-5279,458,4.78,0.06,89.96,68.07,10.74,3.56,5.47,1.15,286.9,0.45,0.61,16.87
9,Calamus henryanus,2.0 cm,wood,LW15SR2,C2023-5280,454,5.43,ND,90,68.1,17.82,3.14,6.37,1.51,325.1,0.38,1.07,17.62
9,Calamus henryanus,4.0 cm,wood,LW15BR1,C2023-5281,456,5.64,ND,88.14,65.76,12.17,2.54,5.27,1.7,312.6,0.35,0.56,15.82
9,Calamus henryanus,4.0 cm,wood,LW15BR2,C2023-5282,457,5.77,0.01,88.63,67.11,10.74,4,6.79,1.24,331,0.42,1.48,15.8
10,Ichnocarpus frutenscens,2.0 cm,wood,LW16SR1,C2023-5283,481,5.62,1.62,85.41,72.19,29.63,13.19,6.05,0.93,20.2,0.59,3.16,0.1
10,Ichnocarpus frutenscens,2.0 cm,wood,LW16SR2,C2023-5284,470,5.94,2.46,82.93,69.56,28.57,16.23,6.73,1.14,27.2,0.55,4.18,0.31
10,Ichnocarpus frutenscens,4.0 cm,wood,LW16BR1,C2023-5285,480,5.94,1.85,84.5,71.44,29.43,13.6,5.98,0.94,22.9,0.55,3.13,0.25
10,Ichnocarpus frutenscens,4.0 cm,wood,LW16BR2,C2023-5286,473,5.68,2.15,84.37,71.32,29.55,13.78,6.63,1.06,25.1,0.54,4.39,0.51
11,Ayenia grandifolia,2.0 cm,wood,LW17SR1,C2023-5287,467,6.31,1.32,81.98,66.49,21.18,14.13,11.54,1.11,17.6,1.9,2.38,0.26
11,Ayenia grandifolia,2.0 cm,wood,LW17SR2,C2023-5288,462,4.85,0.74,86.84,71.75,22.74,17.02,12.15,1.1,26.7,2.12,0.83,0.73
11,Ayenia grandifolia,4.0 cm,wood,LW17BR1,C2023-5289,470,6.75,2.36,77.92,63.84,19.77,19.06,9.89,1.35,19.9,1.8,2.36,0.26
11,Ayenia grandifolia,4.0 cm,wood,LW17BR2,C2023-5290,469,6.57,1.41,79.87,64.66,21.31,14.81,11.79,1.32,25.2,2.01,2.34,0.82
12,Celastrus sp1,2.0 cm,wood,LW18SR1,C2023-5291,457,3.66,0.23,89.39,70.24,16.51,22.28,7.76,1.35,5.8,0.33,0.38,0.94
12,Celastrus sp1,2.0 cm,wood,LW18SR2,C2023-5292,465,2.76,0.15,90.02,70.82,15.46,10.97,6.31,0.67,8.5,0.27,0.49,0.41
